soil_color,soil_ph,soil_n,soil_p,temp,rainfall,forecast_temp,forecast_rainfall,crop_type,plant_health,optimal_fertilizer_amount
dark brown,6.65,31.7,26.24,25.53,251.25,29.8,208.33,corn,yellowing,139.53
reddish,5.93,18.18,35.29,25.43,152.29,27.38,121.84,rice,healthy,117.29
light brown,6.97,37.94,28.95,27.9,213.52,32.25,39.75,wheat,healthy,112.35
light brown,6.81,21.44,10.64,28.97,149.24,30.56,181.01,wheat,wilting,113.48
light brown,5.7,47.91,43.45,26.36,114.73,27.13,110.11,rice,wilting,91.54
reddish,5.89,26.68,20.65,34.91,37.0,33.31,162.18,corn,wilting,156.56
reddish,6.16,20.34,24.59,32.69,146.09,33.67,54.42,rice,wilting,110.2
reddish,6.12,10.45,13.03,34.69,261.44,28.21,226.69,wheat,yellowing,130.86
dark brown,5.53,20.21,44.02,33.3,109.82,30.62,70.12,rice,yellowing,114.02
light brown,7.14,19.51,37.23,29.04,229.2,26.08,289.21,wheat,yellowing,129.07
dark brown,6.06,31.13,16.88,27.91,144.48,31.04,282.75,wheat,healthy,107.43
reddish,5.91,22.6,19.43,27.66,59.3,27.54,190.92,corn,wilting,143.5
reddish,5.57,37.62,15.19,33.28,58.72,30.57,195.39,rice,healthy,113.97
light brown,6.71,38.55,48.43,31.64,33.05,28.87,123.14,rice,wilting,95.58
dark brown,6.79,37.01,37.35,31.47,165.42,34.89,292.64,rice,healthy,99.26
light brown,5.64,24.43,33.61,34.51,37.12,29.56,64.8,rice,healthy,114.93
reddish,6.42,33.53,37.69,28.44,189.89,30.44,185.13,rice,yellowing,100.73
light brown,7.04,48.86,15.47,29.0,10.77,26.38,2.45,corn,yellowing,145.11
reddish,6.32,10.08,29.89,25.2,240.52,30.61,6.56,corn,healthy,151.19
reddish,6.97,23.98,49.83,29.92,176.44,33.1,155.78,rice,wilting,101.75
light brown,7.44,46.2,48.04,25.2,9.39,25.38,260.51,rice,healthy,101.24
light brown,6.87,39.59,41.4,34.1,4.41,34.66,33.06,corn,healthy,129.35
dark brown,6.46,31.69,39.56,25.98,19.2,32.57,274.6,corn,wilting,134.74
dark brown,6.65,26.08,15.73,29.96,194.53,29.64,19.07,wheat,healthy,122.24
reddish,5.51,31.67,24.47,33.0,143.87,34.37,60.31,wheat,yellowing,126.83
dark brown,6.47,47.22,21.45,34.35,51.8,34.08,54.29,rice,healthy,98.96
reddish,5.8,29.85,45.52,28.14,23.05,29.54,152.22,rice,healthy,109.28
reddish,6.38,30.9,25.74,30.86,243.73,25.12,34.03,rice,wilting,105.15
dark brown,5.5,15.85,15.0,34.4,45.54,25.16,81.56,rice,yellowing,123.82
dark brown,6.56,23.88,39.52,30.47,141.8,25.8,74.4,corn,wilting,139.44
dark brown,6.87,25.51,46.36,28.48,258.32,30.81,144.81,rice,yellowing,102.0
dark brown,6.69,13.03,10.36,25.75,66.22,33.64,65.5,wheat,wilting,117.34
dark brown,6.5,24.46,24.67,30.17,57.64,25.42,146.06,rice,yellowing,108.33
dark brown,6.24,13.66,37.77,26.31,210.04,30.66,62.07,corn,wilting,146.21
dark brown,5.92,15.79,14.34,28.28,69.5,32.3,50.93,wheat,healthy,124.02
dark brown,7.09,10.65,19.86,29.9,122.84,25.41,284.47,rice,yellowing,112.36
dark brown,6.72,25.94,25.49,30.89,169.27,30.34,273.26,corn,wilting,143.26
dark brown,6.44,47.79,45.96,33.3,270.16,31.24,226.12,wheat,yellowing,102.32
dark brown,7.41,24.63,26.31,26.72,262.63,30.73,200.78,rice,yellowing,116.81
dark brown,5.88,17.91,20.32,27.64,23.35,31.56,87.27,rice,wilting,121.45
dark brown,5.77,44.01,12.1,29.66,74.17,31.74,123.46,wheat,yellowing,111.93
light brown,5.71,45.88,12.25,25.12,280.05,33.53,280.23,rice,yellowing,111.05
reddish,7.11,23.49,43.01,25.71,286.22,34.71,221.54,rice,wilting,112.82
dark brown,5.96,34.71,33.61,25.49,35.34,27.15,56.55,rice,yellowing,110.31
reddish,6.22,49.65,47.34,27.32,218.77,26.6,4.53,wheat,yellowing,100.97
dark brown,6.82,25.8,22.59,32.5,239.34,31.0,250.7,corn,wilting,144.39
reddish,5.76,42.7,45.36,27.41,74.57,26.96,47.95,corn,wilting,124.24
reddish,5.94,45.78,24.59,30.26,19.54,31.56,17.3,rice,healthy,107.76
light brown,6.7,18.68,28.57,26.46,267.72,34.88,195.58,corn,yellowing,146.51
reddish,6.04,27.64,30.44,25.83,231.88,33.11,234.96,corn,wilting,140.45
dark brown,6.03,13.7,12.37,27.51,64.35,25.55,248.6,rice,yellowing,104.85
reddish,6.61,37.0,29.56,29.6,248.87,29.89,38.41,corn,yellowing,135.16
light brown,6.13,40.79,20.95,27.74,38.27,29.07,20.72,wheat,wilting,113.32
light brown,5.85,44.81,38.08,26.89,52.16,33.92,128.6,rice,healthy,94.1
light brown,6.38,27.71,34.72,26.13,141.33,32.24,89.66,corn,wilting,124.99
dark brown,5.76,43.44,43.32,27.27,46.28,27.09,118.93,rice,yellowing,103.75
reddish,5.95,35.66,30.5,25.85,53.98,28.69,186.17,wheat,healthy,110.72
light brown,6.62,19.22,27.04,25.29,13.61,27.48,286.07,rice,wilting,110.05
reddish,6.5,47.22,47.48,30.33,17.8,33.69,3.53,rice,wilting,91.93
light brown,7.3,30.15,24.79,30.43,82.32,34.4,192.12,rice,healthy,114.74
reddish,7.41,31.01,26.23,30.07,161.0,26.29,87.72,corn,yellowing,151.95
dark brown,7.28,38.05,14.37,27.18,195.13,25.14,276.52,wheat,healthy,126.66
reddish,5.56,28.34,20.23,25.82,227.87,28.57,236.37,rice,wilting,116.78
reddish,6.6,40.16,38.18,33.16,218.79,26.59,149.48,rice,yellowing,97.62
light brown,7.45,30.0,16.58,29.32,56.17,26.55,89.7,rice,healthy,105.32
light brown,6.62,26.11,28.16,32.91,198.74,30.09,42.07,rice,yellowing,106.65
light brown,7.13,16.41,48.63,32.5,131.37,34.97,154.69,rice,wilting,114.49
reddish,6.88,17.23,47.11,32.09,230.81,27.94,25.09,wheat,wilting,117.25
light brown,5.9,31.86,10.46,25.66,1.37,34.13,188.56,rice,healthy,117.84
light brown,7.35,25.5,36.75,30.63,125.97,29.29,9.18,wheat,wilting,126.22
dark brown,7.11,43.33,39.43,29.54,64.61,32.46,91.11,rice,wilting,94.37
light brown,6.71,19.6,24.23,32.22,237.5,30.68,142.02,wheat,yellowing,122.93
light brown,7.42,43.76,31.47,26.17,137.87,31.41,10.03,wheat,wilting,106.81
light brown,5.61,27.79,44.78,29.02,276.38,26.96,23.21,wheat,wilting,122.67
light brown,7.4,10.83,39.84,27.24,147.04,26.15,87.26,corn,yellowing,143.24
reddish,5.56,15.83,21.52,33.27,179.31,33.5,293.55,corn,healthy,162.76
reddish,6.3,24.16,43.06,34.86,72.78,26.43,188.83,rice,yellowing,103.5
reddish,6.85,10.85,34.88,27.94,136.96,30.34,194.01,wheat,wilting,111.7
reddish,7.16,47.72,23.93,32.35,189.19,32.35,202.38,corn,yellowing,142.75
dark brown,6.63,26.92,43.26,27.66,275.55,29.59,188.89,corn,yellowing,136.27
dark brown,6.28,25.02,48.35,27.62,15.22,31.44,143.08,rice,wilting,101.69
light brown,6.49,30.86,46.87,28.32,240.43,26.32,261.51,wheat,wilting,110.51
light brown,6.89,15.15,48.79,29.21,55.8,29.59,124.46,rice,wilting,95.41
reddish,6.68,31.8,16.86,26.61,63.88,29.43,139.51,corn,wilting,128.56
light brown,6.65,26.46,45.2,26.58,223.5,34.1,124.99,rice,wilting,101.89
light brown,5.6,25.98,22.88,27.47,134.31,29.47,16.19,corn,wilting,140.56
dark brown,6.51,20.58,24.94,26.99,206.63,27.59,202.56,corn,yellowing,146.67
light brown,6.55,18.86,26.41,33.04,225.36,27.85,184.66,wheat,wilting,122.65
dark brown,6.26,45.52,33.53,25.93,171.32,29.63,188.75,wheat,yellowing,107.18
light brown,6.52,15.15,35.4,28.82,73.79,27.56,121.1,corn,yellowing,131.55
reddish,5.97,13.85,16.5,29.76,289.67,26.41,269.9,wheat,healthy,138.12
dark brown,6.17,17.28,34.42,28.04,281.16,34.36,254.24,rice,healthy,108.93
reddish,6.96,27.62,30.09,30.98,82.38,32.81,7.46,rice,healthy,105.45
reddish,7.4,18.57,47.57,31.45,145.33,34.72,256.22,wheat,healthy,126.44
light brown,5.55,37.28,13.72,28.03,117.66,33.47,170.39,wheat,wilting,114.52
reddish,6.35,49.65,39.06,32.3,15.51,31.5,181.07,corn,wilting,124.15
dark brown,5.94,38.09,44.21,32.24,28.46,32.35,283.3,rice,healthy,105.93
reddish,7.39,18.53,24.38,34.77,46.2,30.57,69.08,rice,yellowing,120.08
reddish,7.04,33.24,16.2,31.22,156.9,27.29,76.16,rice,yellowing,115.67
dark brown,6.12,19.98,39.04,27.42,87.44,26.39,276.46,corn,wilting,127.76
light brown,5.85,40.58,29.54,34.46,47.97,26.01,16.23,wheat,healthy,120.85
light brown,7.03,29.46,14.66,34.38,188.51,30.38,208.51,corn,yellowing,157.05
dark brown,6.14,43.05,13.09,33.33,175.02,31.5,278.81,wheat,healthy,114.55
dark brown,5.71,34.74,34.28,33.81,45.6,25.37,6.18,wheat,healthy,122.34
reddish,6.33,12.92,38.04,30.01,107.38,30.91,5.9,wheat,healthy,122.13
reddish,6.85,11.81,16.17,30.12,44.83,28.61,193.24,wheat,wilting,129.24
reddish,7.1,15.07,30.94,30.15,236.65,33.23,252.81,corn,healthy,159.82
light brown,5.53,48.78,10.07,32.22,218.78,31.34,63.29,wheat,wilting,122.59
light brown,7.44,29.77,29.23,32.5,46.78,30.29,47.2,rice,healthy,113.71
reddish,6.76,48.83,46.11,32.43,147.39,31.89,216.06,rice,wilting,91.58
reddish,7.25,48.09,35.77,33.86,65.55,32.64,240.57,corn,yellowing,138.27
dark brown,7.49,16.93,41.04,28.92,289.05,27.23,29.67,wheat,wilting,129.23
reddish,7.42,25.26,19.13,32.55,147.56,31.32,47.96,wheat,healthy,131.63
dark brown,5.77,18.9,12.38,31.6,76.43,26.36,258.23,wheat,yellowing,136.84
dark brown,5.9,36.46,49.16,33.5,45.43,32.88,158.14,wheat,healthy,117.02
dark brown,6.6,20.34,39.38,30.89,20.75,34.8,131.62,corn,healthy,141.62
reddish,7.24,12.23,36.84,25.34,290.05,27.97,81.28,wheat,yellowing,132.83
reddish,6.11,39.91,37.84,28.78,142.18,29.39,8.99,wheat,yellowing,97.83
reddish,7.24,42.99,15.93,32.41,49.52,34.35,15.04,wheat,wilting,123.73
reddish,5.76,48.3,34.01,29.5,75.34,33.99,199.09,rice,healthy,93.67
dark brown,5.67,38.05,19.69,25.34,160.2,25.59,101.96,rice,yellowing,112.56
light brown,5.59,37.67,38.75,28.94,28.14,30.0,286.68,corn,healthy,143.44
reddish,6.38,34.98,32.82,27.1,91.21,25.65,98.23,wheat,healthy,101.4
reddish,6.6,23.02,10.2,34.56,26.08,29.41,196.88,corn,healthy,150.52
reddish,5.78,36.78,44.23,30.48,242.0,29.86,63.93,rice,healthy,106.51
dark brown,5.64,49.16,11.97,32.31,255.9,34.76,162.09,rice,yellowing,109.65
reddish,6.9,43.67,15.83,31.94,277.49,34.35,175.82,rice,wilting,102.07
dark brown,7.06,22.18,15.7,29.14,161.46,30.06,200.81,corn,yellowing,161.04
reddish,6.35,39.76,10.58,33.23,117.07,25.14,24.33,wheat,wilting,116.94
light brown,7.41,13.12,28.28,28.22,6.46,30.24,226.78,rice,yellowing,121.46
light brown,5.64,27.84,46.46,33.01,80.22,33.33,110.68,wheat,wilting,122.14
light brown,5.88,36.18,40.44,26.56,45.48,28.81,183.39,corn,healthy,143.73
light brown,6.17,34.22,19.97,30.27,286.95,26.47,31.82,wheat,wilting,116.9
light brown,6.65,11.88,17.67,34.95,287.33,29.18,64.51,rice,yellowing,115.88
reddish,6.22,32.77,11.4,32.8,51.3,25.27,65.15,rice,wilting,108.18
dark brown,6.25,36.33,39.21,27.02,185.83,26.03,216.55,rice,wilting,99.06
dark brown,6.79,40.59,24.98,31.05,105.68,31.58,109.97,wheat,yellowing,112.21
dark brown,6.41,18.84,30.49,33.28,30.63,29.3,0.19,corn,yellowing,145.72
dark brown,7.24,45.26,40.5,29.93,49.87,27.47,146.04,rice,healthy,103.7
dark brown,6.6,23.75,37.55,33.81,106.68,26.87,299.09,corn,yellowing,140.23
dark brown,6.11,32.85,42.64,34.39,187.61,25.9,213.33,rice,wilting,99.7
reddish,6.52,26.01,43.47,26.41,29.83,25.84,94.64,corn,yellowing,136.75
reddish,6.05,48.7,49.12,29.27,80.15,31.28,22.87,wheat,yellowing,90.82
dark brown,6.93,40.7,29.81,28.35,0.21,30.59,186.55,rice,yellowing,99.64
reddish,7.07,34.72,14.95,34.89,74.92,25.64,30.3,rice,healthy,115.34
dark brown,7.0,15.19,34.99,32.76,0.87,33.33,225.32,rice,wilting,109.72
reddish,7.07,49.36,21.67,31.42,274.21,29.22,65.97,wheat,wilting,118.82
dark brown,7.31,40.23,33.46,35.0,183.18,34.15,149.22,wheat,yellowing,119.85
light brown,6.21,23.8,27.37,33.55,89.84,32.72,93.44,wheat,healthy,119.89
reddish,6.05,18.34,43.46,30.07,133.87,27.5,138.77,rice,yellowing,106.01
light brown,5.56,23.59,24.31,34.21,276.34,32.83,274.59,corn,healthy,157.1
light brown,6.49,27.53,12.55,29.38,17.45,27.57,200.81,corn,yellowing,146.96
dark brown,7.4,27.02,20.75,29.59,170.3,28.87,45.84,rice,yellowing,117.24
dark brown,5.68,32.14,10.5,29.11,75.24,25.24,135.41,wheat,healthy,117.7
dark brown,7.0,27.47,20.71,33.02,65.52,30.65,154.01,wheat,yellowing,120.05
reddish,5.59,46.03,29.79,31.12,217.43,34.1,93.74,wheat,healthy,118.05
reddish,6.39,25.35,23.58,31.27,142.18,28.79,234.93,wheat,healthy,120.25
dark brown,6.52,47.63,45.16,26.42,252.5,29.21,291.45,rice,yellowing,92.37
reddish,6.44,43.5,16.19,32.49,29.65,30.55,50.86,wheat,wilting,113.39
light brown,7.37,47.9,40.67,32.28,221.88,26.24,220.24,rice,wilting,102.46
light brown,7.19,49.59,36.16,29.95,42.33,29.38,54.19,corn,healthy,137.23
reddish,5.58,35.52,46.83,27.02,285.25,30.41,254.19,corn,healthy,141.83
dark brown,7.08,25.15,38.46,33.41,164.99,31.52,223.01,wheat,healthy,125.89
reddish,5.54,32.44,49.68,30.92,192.19,33.7,230.61,wheat,healthy,118.88
reddish,6.74,12.23,12.54,28.31,231.11,31.52,290.98,corn,healthy,156.15
reddish,6.34,11.14,26.2,34.71,20.62,29.96,296.78,rice,wilting,113.91
light brown,6.63,31.72,21.09,26.14,97.62,31.52,41.05,corn,healthy,127.24
dark brown,7.06,37.5,31.92,28.62,218.05,27.75,27.52,wheat,healthy,121.67
reddish,6.19,38.25,11.27,29.49,234.24,25.85,81.24,rice,yellowing,105.75
light brown,5.71,14.13,17.58,29.08,38.85,31.99,250.51,wheat,yellowing,137.66
dark brown,6.52,19.77,16.69,34.74,89.84,31.04,226.79,corn,yellowing,150.13
light brown,6.4,13.01,14.02,32.39,267.63,25.67,12.98,corn,yellowing,155.15
light brown,6.62,37.6,38.36,26.35,245.44,30.55,77.59,wheat,wilting,109.69
light brown,5.98,39.74,34.53,28.93,166.41,33.71,90.15,rice,yellowing,107.79
reddish,7.3,12.73,27.57,32.86,273.03,33.22,203.42,corn,yellowing,162.44
light brown,7.2,21.8,22.81,34.95,205.49,25.2,107.78,wheat,healthy,132.26
dark brown,7.04,17.52,23.05,28.2,130.29,30.31,289.82,wheat,yellowing,120.89
dark brown,6.2,11.01,11.04,33.37,279.38,27.11,237.8,wheat,healthy,131.19
reddish,5.55,38.11,32.25,28.62,8.08,28.23,217.93,corn,yellowing,145.52
light brown,7.04,38.28,39.97,29.66,3.53,29.15,162.56,wheat,yellowing,118.87
dark brown,6.41,20.62,25.2,26.01,150.53,32.57,46.47,corn,healthy,146.55
reddish,5.81,12.93,19.99,25.89,267.73,27.92,67.15,corn,wilting,165.05
light brown,6.43,36.41,33.03,30.04,32.03,34.67,123.16,corn,yellowing,134.26
reddish,7.0,18.86,33.91,28.3,174.9,28.54,231.71,wheat,yellowing,130.4
light brown,7.38,11.03,34.39,32.69,225.99,27.27,210.13,wheat,yellowing,134.17
light brown,5.81,29.24,40.18,26.31,221.16,33.75,267.83,rice,healthy,110.99
light brown,7.0,41.3,26.33,31.83,173.67,28.96,78.13,corn,yellowing,133.74
reddish,5.58,49.67,32.05,29.82,283.35,31.32,100.45,corn,wilting,138.66
reddish,6.32,30.26,15.5,34.67,136.48,29.34,122.66,wheat,yellowing,120.22
reddish,6.21,30.99,47.42,31.96,111.02,29.08,27.96,rice,wilting,99.25
light brown,5.72,27.97,25.14,34.97,155.13,30.35,264.99,rice,healthy,115.63
light brown,7.44,46.3,44.92,25.25,146.69,28.11,188.18,corn,wilting,122.45
light brown,6.01,24.2,45.82,30.64,118.91,32.06,31.25,rice,healthy,102.74
dark brown,6.38,32.71,16.18,28.02,240.6,32.17,295.02,wheat,yellowing,118.79
light brown,6.26,15.84,27.86,28.77,140.2,30.92,254.98,corn,healthy,133.62
light brown,7.11,16.4,32.38,31.81,115.99,27.98,51.94,corn,yellowing,158.5
dark brown,6.61,24.73,19.33,27.82,84.34,33.45,72.46,rice,healthy,98.69
reddish,5.94,13.07,10.7,27.61,180.19,28.87,225.88,rice,healthy,126.23
reddish,7.42,38.82,20.02,32.44,34.74,29.33,81.7,wheat,healthy,124.59
reddish,5.65,11.62,38.45,30.77,228.44,31.89,149.21,wheat,healthy,132.66
dark brown,7.28,47.9,34.89,29.7,19.56,25.85,204.22,rice,yellowing,104.03
light brown,7.02,27.73,38.88,26.74,107.3,27.51,274.12,wheat,yellowing,112.02
dark brown,6.28,27.7,34.24,34.92,223.54,28.64,81.21,rice,wilting,104.29
dark brown,5.51,29.92,16.58,34.64,289.22,31.37,85.26,wheat,wilting,130.07
light brown,6.76,18.63,42.55,27.81,40.85,32.88,205.48,rice,yellowing,106.13
dark brown,6.34,11.11,14.86,26.57,222.57,33.37,30.38,rice,yellowing,116.99
light brown,6.27,43.39,34.14,31.66,105.76,31.01,115.88,corn,healthy,129.68
light brown,6.09,41.44,27.76,26.92,64.63,30.05,188.87,rice,healthy,89.87
reddish,7.1,29.53,16.4,34.83,206.46,34.28,5.11,wheat,healthy,130.31
dark brown,6.0,17.41,23.96,33.06,96.81,28.12,225.62,rice,healthy,111.7
reddish,6.36,39.76,32.43,35.0,126.66,25.14,233.46,wheat,wilting,110.39
light brown,7.44,18.76,25.12,27.58,44.56,33.18,55.06,corn,healthy,159.7
dark brown,5.95,47.01,15.1,29.76,289.33,32.69,240.12,wheat,yellowing,121.96
reddish,6.97,27.72,44.69,25.61,79.1,33.22,30.08,wheat,healthy,101.46
light brown,6.99,43.05,22.58,27.28,261.75,25.75,210.54,corn,yellowing,134.04
reddish,6.73,41.98,25.18,33.35,259.3,32.58,174.12,wheat,yellowing,111.46
dark brown,7.32,38.77,15.65,32.21,68.97,30.65,242.97,rice,yellowing,113.33
light brown,7.36,42.08,14.98,25.5,208.34,33.72,26.52,wheat,wilting,124.47
reddish,7.01,33.78,33.32,30.41,224.06,32.41,139.67,corn,wilting,147.74
reddish,6.38,41.79,13.53,30.55,152.42,32.76,288.55,rice,wilting,103.54
light brown,7.42,39.52,37.49,31.71,25.51,30.17,239.29,corn,yellowing,142.79
reddish,5.82,33.89,30.33,33.32,138.99,33.38,10.07,rice,wilting,111.56
reddish,6.43,26.43,48.88,32.62,244.44,26.08,14.41,corn,yellowing,134.55
dark brown,7.0,20.09,19.54,32.74,145.61,30.06,112.3,corn,wilting,148.91
light brown,6.63,47.89,33.8,30.49,90.4,33.54,224.02,corn,healthy,127.1
dark brown,6.41,40.92,14.46,32.73,159.91,30.01,215.81,corn,yellowing,138.24
light brown,7.2,14.95,34.67,26.09,245.1,27.98,11.2,corn,wilting,158.55
dark brown,5.61,20.96,30.33,32.92,107.59,25.73,288.54,corn,healthy,156.51
light brown,6.72,44.4,29.64,27.02,107.22,32.21,73.54,corn,yellowing,117.62
dark brown,7.22,47.2,35.46,26.55,172.51,26.34,225.16,wheat,wilting,115.76
dark brown,6.34,46.07,43.05,28.0,296.26,27.75,165.27,rice,healthy,93.64
reddish,6.89,33.49,38.46,26.21,244.04,26.69,132.15,rice,healthy,100.54
dark brown,6.86,18.94,41.99,31.58,40.44,28.92,292.82,corn,healthy,141.52
light brown,7.36,13.6,18.86,33.42,164.34,31.72,131.83,wheat,healthy,137.54
reddish,6.54,27.84,26.01,26.15,101.12,27.39,283.46,rice,wilting,95.8
reddish,6.93,24.6,43.83,28.13,78.09,27.28,45.95,wheat,healthy,103.09
light brown,6.99,33.86,43.03,33.97,234.7,27.45,52.4,corn,yellowing,132.19
dark brown,7.02,11.13,49.19,26.78,201.91,33.49,253.87,corn,yellowing,155.62
dark brown,5.5,31.12,46.2,28.03,161.51,25.47,103.78,rice,yellowing,108.52
reddish,6.29,40.4,22.29,26.54,296.13,25.4,126.8,corn,yellowing,135.73
dark brown,6.98,31.36,39.64,27.79,95.88,31.45,189.62,wheat,wilting,101.19
reddish,7.12,41.44,42.44,30.95,246.83,26.25,292.61,corn,wilting,139.86
dark brown,7.41,35.32,38.89,29.03,111.74,27.86,181.47,wheat,healthy,108.61
light brown,6.7,13.88,21.36,28.31,149.54,32.58,11.76,wheat,yellowing,113.99
reddish,7.12,31.53,24.97,29.51,231.35,34.7,168.57,corn,wilting,152.1
reddish,5.84,14.0,28.85,27.75,1.42,29.1,48.62,corn,healthy,161.21
dark brown,7.07,18.74,12.95,29.97,18.13,25.95,105.91,rice,healthy,123.07
reddish,7.48,11.62,34.77,25.09,73.08,25.79,93.37,corn,wilting,144.46
reddish,6.91,29.16,48.91,34.78,28.57,27.08,144.93,rice,healthy,99.67
light brown,5.85,27.82,48.07,28.19,102.07,28.68,76.21,corn,yellowing,131.4
light brown,5.66,11.67,13.66,32.68,284.5,26.93,50.43,wheat,healthy,140.07
dark brown,6.16,33.17,26.19,28.05,92.41,29.28,105.38,corn,yellowing,124.8
dark brown,5.76,22.64,31.91,28.87,70.47,32.5,65.42,corn,healthy,139.44
reddish,6.65,20.67,15.41,33.08,41.58,29.98,156.58,corn,healthy,150.05
reddish,6.95,10.05,40.15,31.52,130.99,28.7,163.22,wheat,healthy,122.93
reddish,7.22,29.74,45.7,32.58,14.27,25.78,102.25,corn,yellowing,145.7
light brown,6.68,42.72,37.01,27.71,121.0,34.66,245.0,rice,wilting,87.11
reddish,7.23,30.8,44.02,25.99,223.36,27.82,172.62,corn,yellowing,145.68
light brown,7.36,22.4,48.62,27.7,137.68,31.42,156.61,wheat,yellowing,111.79
reddish,6.7,34.15,14.46,26.21,14.69,25.23,44.12,corn,healthy,142.31
reddish,6.86,40.15,32.18,31.84,255.5,27.85,39.78,wheat,healthy,110.27
dark brown,6.54,34.39,15.89,30.84,243.91,28.04,50.14,rice,healthy,106.24
reddish,6.13,45.9,35.82,29.79,102.93,33.48,212.96,corn,healthy,114.81
reddish,5.97,17.41,17.95,31.69,239.42,30.99,55.03,wheat,wilting,135.91
dark brown,5.98,21.74,45.15,29.71,72.4,25.54,76.12,wheat,wilting,113.02
dark brown,6.41,32.64,41.43,25.63,230.84,33.65,89.71,corn,wilting,133.5
dark brown,5.88,31.8,31.95,33.82,151.38,25.18,2.76,rice,healthy,112.06
reddish,6.53,32.42,11.9,25.31,70.74,29.57,74.74,wheat,yellowing,108.2
light brown,6.26,33.58,25.49,31.3,262.73,25.31,274.78,wheat,yellowing,115.56
dark brown,7.37,20.75,11.03,31.44,129.99,29.9,242.79,rice,wilting,122.69
dark brown,5.58,13.68,22.58,28.7,25.23,26.93,101.88,rice,healthy,122.75
dark brown,7.44,10.14,19.87,31.36,0.11,25.12,207.47,corn,wilting,166.76
light brown,6.41,16.89,30.91,31.49,217.16,28.1,7.18,rice,yellowing,110.05
light brown,6.53,12.67,21.74,29.75,154.16,29.51,252.24,rice,healthy,114.43
light brown,6.32,25.68,41.41,33.79,22.2,25.51,278.13,rice,healthy,103.26
dark brown,7.26,14.21,32.05,27.03,64.02,30.72,276.37,corn,healthy,143.94
reddish,6.47,49.38,14.39,31.76,139.6,28.36,129.84,rice,wilting,99.9
dark brown,5.51,45.71,24.64,33.91,223.66,31.03,244.11,corn,wilting,143.7
reddish,7.37,20.95,14.86,32.44,202.51,32.52,211.13,corn,healthy,162.08
dark brown,6.87,37.92,18.09,30.47,258.04,27.71,276.04,corn,wilting,138.74
light brown,5.81,24.66,27.41,33.16,235.51,27.74,265.73,corn,yellowing,155.33
dark brown,6.35,31.9,42.27,34.49,291.9,33.28,244.24,rice,healthy,100.23
reddish,5.62,37.47,38.03,25.19,229.51,30.27,76.68,corn,yellowing,143.83
light brown,6.1,11.47,24.09,31.47,57.78,31.99,38.5,corn,healthy,152.45
reddish,7.07,47.2,44.56,26.83,189.75,26.14,231.4,corn,wilting,135.64
reddish,6.83,28.01,22.31,25.48,250.1,34.82,2.13,corn,wilting,143.16
reddish,6.04,27.91,47.03,30.65,11.18,30.14,78.39,corn,yellowing,134.32
light brown,6.98,11.23,10.28,27.08,209.52,33.89,125.79,corn,wilting,157.56
reddish,7.34,20.93,46.68,25.09,255.23,28.01,53.56,corn,yellowing,150.64
reddish,5.54,14.9,14.13,32.56,190.11,28.71,15.82,wheat,wilting,138.31
light brown,5.89,37.1,12.08,30.52,123.24,25.6,264.2,rice,yellowing,115.04
